query family beginR
chr3:41806640:41806775_1 L1PA5 LINE/L1
chr3:41806646:41806781 L1PA5 LINE/L1
chr3:41806646:41806781_1 L1PA5 LINE/L1
chr3:41806683:41806818 L1PA4 LINE/L1
chr3:41806683:41806818_1 L1PA4 LINE/L1
chr3:41806702:41806837 L1PA4 LINE/L1
chr3:41806702:41806837_1 L1PA4 LINE/L1
chr3:41807614:41807749 AluSx SINE/Alu
chr3:41807614:41807749_1 AluSx SINE/Alu
chr3:41808995:41809130 HAL1 LINE/L1
chr3:41808995:41809130_1 HAL1 LINE/L1
chr3:41809515:41809650 MER1B DNA/hAT-Charlie
chr3:41809515:41809650_1 MER1B DNA/hAT-Charlie
chr3:41809921:41810056 MLT1G1 LTR/ERVL-MaLR
chr3:41809921:41810056_1 MLT1G1 LTR/ERVL-MaLR
chr3:41809987:41810122 MLT1G1 LTR/ERVL-MaLR
chr3:41809987:41810122_1 MLT1G1 LTR/ERVL-MaLR
chr3:41810112:41810247 MLT1G1 LTR/ERVL-MaLR
chr3:41810112:41810247_1 MLT1G1 LTR/ERVL-MaLR
chr3:41811964:41812099 AluSx SINE/Alu
chr3:41811964:41812099_1 AluSx SINE/Alu
chr3:41812225:41812360 AluSx SINE/Alu
chr3:41812225:41812360_1 AluSx SINE/Alu
chr3:41812226:41812361 AluSx SINE/Alu
chr3:41812226:41812361_1 AluSx SINE/Alu
chr3:41813489:41813624 L1P1 LINE/L1
chr3:41813489:41813624_1 L1P1 LINE/L1
chr3:41813821:41813956 L1P1 LINE/L1
chr3:41813821:41813956_1 L1P1 LINE/L1
chr3:41813990:41814125 L1P1 LINE/L1
chr3:41813990:41814125_1 L1P1 LINE/L1
chr3:41814496:41814631 L1P1 LINE/L1
chr3:41814496:41814631_1 L1P1 LINE/L1
chr3:41815134:41815269 L1P1 LINE/L1
chr3:41815134:41815269_1 L1P1 LINE/L1
chr3:41815883:41816018 L1P2 LINE/L1
chr3:41815883:41816018_1 L1P2 LINE/L1
chr3:41816473:41816608 L1PA4 LINE/L1
chr3:41816473:41816608_1 L1PA4 LINE/L1
chr3:41816605:41816740 L1PA4 LINE/L1
chr3:41816605:41816740_1 L1PA4 LINE/L1
chr3:41816610:41816745 L1PA4 LINE/L1
chr3:41816610:41816745_1 L1PA4 LINE/L1
chr3:41816823:41816958 AluSx SINE/Alu
chr3:41816823:41816958_1 AluSx SINE/Alu
chr3:41817195:41817330 L1ME3Cz LINE/L1
chr3:41817195:41817330_1 L1ME3Cz LINE/L1
chr3:41821986:41822121 LTR87 LTR/ERVL
chr3:41821986:41822121_1 LTR87 LTR/ERVL
chr3:41822245:41822380 LTR87 LTR/ERVL
chr3:41822245:41822380_1 LTR87 LTR/ERVL
chr3:41822450:41822585 GA-rich Low_complexity
chr3:41822450:41822585 (AT)n Simple_repeat
chr3:41822450:41822585_1 GA-rich Low_complexity
chr3:41822450:41822585_1 (AT)n Simple_repeat
chr3:41822640:41822775 L1MC5 LINE/L1
chr3:41822640:41822775 AluY SINE/Alu
chr3:41822640:41822775_1 L1MC5 LINE/L1
chr3:41822640:41822775_1 AluY SINE/Alu
chr3:41823193:41823328 AluSx SINE/Alu
chr3:41823193:41823328_1 AluSx SINE/Alu
chr3:41823229:41823364 AluSx SINE/Alu
chr3:41823295:41823430 AluSx SINE/Alu
chr3:41823295:41823430_1 AluSx SINE/Alu
chr3:41823580:41823715_1 (T)n Simple_repeat
chr3:41824987:41825122 7SLRNA srpRNA
chr3:41824987:41825122_1 7SLRNA srpRNA
chr3:41826809:41826944 L1ME4a LINE/L1
chr3:41826809:41826944_1 L1ME4a LINE/L1
chr3:41827454:41827589 L2a LINE/L2
chr3:41827454:41827589_1 L2a LINE/L2
chr3:41828232:41828367 L1MDa LINE/L1
chr3:41828232:41828367_1 L1MDa LINE/L1
chr3:41829118:41829253 L1MB2 LINE/L1
chr3:41829118:41829253_1 L1MB2 LINE/L1
chr3:41829911:41830046 AluY SINE/Alu
chr3:41829911:41830046_1 AluY SINE/Alu
chr3:41830132:41830267 AluSx SINE/Alu
chr3:41830132:41830267_1 AluSx SINE/Alu
chr3:41830138:41830273 AluSx SINE/Alu
chr3:41830138:41830273_1 AluSx SINE/Alu
chr3:41830419:41830554 MER5A1 DNA/hAT-Charlie
chr3:41830419:41830554_1 MER5A1 DNA/hAT-Charlie
chr3:41834424:41834559 AluSx SINE/Alu
chr3:41834424:41834559_1 AluSx SINE/Alu
chr3:41834571:41834706 AluSx SINE/Alu
chr3:41834571:41834706_1 AluSx SINE/Alu
chr3:41836000:41836135 AluSx SINE/Alu
chr3:41836000:41836135_1 AluSx SINE/Alu
chr3:41838261:41838396 L1MC4 LINE/L1
chr3:41838261:41838396_1 L1MC4 LINE/L1
chr3:41838699:41838834 MER58C DNA/hAT-Charlie
chr3:41838699:41838834_1 MER58C DNA/hAT-Charlie
chr3:41839151:41839286 AluSx SINE/Alu
chr3:41839151:41839286_1 AluSx SINE/Alu
chr3:41839302:41839437 SVA_A Retroposon/SVA
chr3:41839302:41839437 7SLRNA srpRNA
chr3:41839302:41839437 (AAAGA)n Simple_repeat
chr3:41839302:41839437_1 SVA_A Retroposon/SVA
chr3:41839302:41839437_1 7SLRNA srpRNA
chr3:41839302:41839437_1 (AGAAA)n Simple_repeat
chr3:41839387:41839522 (AAGAA)n Simple_repeat
chr3:41839387:41839522_1 (AAGAA)n Simple_repeat
chr3:41841202:41841337 AluSx SINE/Alu
chr3:41841202:41841337_1 AluSx SINE/Alu
chr3:41842264:41842399 L1MEc LINE/L1
chr3:41842264:41842399_1 L1MEc LINE/L1
chr3:41842347:41842482 L1MEc LINE/L1
chr3:41842347:41842482_1 L1MEc LINE/L1
chr3:41842858:41842993 L1MEc LINE/L1
chr3:41842858:41842993_1 L1MEc LINE/L1
chr3:41842956:41843091 L1MEc LINE/L1
chr3:41842956:41843091_1 L1MEc LINE/L1
chr3:41843323:41843458 L1MEc LINE/L1
chr3:41843323:41843458_1 L1MEc LINE/L1
chr3:41843375:41843510 L1MEc LINE/L1
chr3:41843375:41843510_1 L1MEc LINE/L1
chr3:41843523:41843658 L1MEc LINE/L1
chr3:41843523:41843658_1 L1MEc LINE/L1
chr3:41843525:41843660 L1MEc LINE/L1
chr3:41843525:41843660_1 L1MEc LINE/L1
chr3:41843897:41844032 AluJb SINE/Alu
chr3:41843897:41844032_1 AluJb SINE/Alu
chr3:41843942:41844077 SVA_E Retroposon/SVA
chr3:41843942:41844077 7SLRNA srpRNA
chr3:41843942:41844077_1 SVA_E Retroposon/SVA
chr3:41843942:41844077_1 7SLRNA srpRNA
chr3:41844446:41844581 AluSx SINE/Alu
chr3:41844446:41844581_1 AluSx SINE/Alu
chr3:41844473:41844608 AluSx SINE/Alu
chr3:41844473:41844608_1 AluSx SINE/Alu
chr3:41844544:41844679 AluSx SINE/Alu
chr3:41844544:41844679_1 AluSx SINE/Alu
chr3:41844573:41844708 AluSx SINE/Alu
chr3:41844573:41844708_1 AluSx SINE/Alu
chr3:41844965:41845100 L1PA3 LINE/L1
chr3:41844965:41845100_1 L1PA3 LINE/L1
chr3:41845158:41845293 L1PA3 LINE/L1
chr3:41845158:41845293_1 L1PA3 LINE/L1
chr3:41845479:41845614 L1P2 LINE/L1
chr3:41845479:41845614_1 L1P2 LINE/L1
chr3:41845486:41845621 L1P2 LINE/L1
chr3:41845486:41845621_1 L1P2 LINE/L1
chr3:41845529:41845664 L1P1 LINE/L1
chr3:41845529:41845664_1 L1P1 LINE/L1
chr3:41845876:41846011 L1P1 LINE/L1
chr3:41845876:41846011_1 L1P1 LINE/L1
chr3:41846074:41846209 L1P1 LINE/L1
chr3:41846074:41846209_1 L1P1 LINE/L1
chr3:41847911:41848046 L1P1 LINE/L1
chr3:41847911:41848046_1 L1P1 LINE/L1
chr3:41848424:41848559 AluJb SINE/Alu
chr3:41848424:41848559_1 AluJb SINE/Alu
chr3:41848429:41848564 AluJb SINE/Alu
chr3:41848429:41848564_1 AluJb SINE/Alu
chr3:41848559:41848694 AluJb SINE/Alu
chr3:41848559:41848694_1 AluJb SINE/Alu
chr3:41848945:41849080_1 MIR SINE/MIR
chr3:41849062:41849197 MIR SINE/MIR
chr3:41849062:41849197_1 MIR SINE/MIR
chr3:41849602:41849737_1 LTR79 LTR/ERVL
chr3:41850617:41850752 AluSx SINE/Alu
chr3:41850617:41850752_1 AluSx SINE/Alu
chr3:41851650:41851785_1 (ATTTC)n Simple_repeat
chr3:41852819:41852954 AluJb SINE/Alu
chr3:41852819:41852954_1 AluY SINE/Alu
chr3:41853057:41853192 MER103C DNA/hAT-Charlie
chr3:41853057:41853192_1 MER103C DNA/hAT-Charlie
chr3:41853093:41853228 MER103C DNA/hAT-Charlie
chr3:41853093:41853228_1 MER103C DNA/hAT-Charlie
chr3:41854675:41854810 L1PA10 LINE/L1
chr3:41854675:41854810_1 L1PA10 LINE/L1
chr3:41856893:41857028 L1MEd LINE/L1
chr3:41856893:41857028_1 L1MEd LINE/L1
chr3:41857584:41857719 (TA)n Simple_repeat
chr3:41857584:41857719 L1M5 LINE/L1
chr3:41857584:41857719_1 (TA)n Simple_repeat
chr3:41857584:41857719_1 L1M5 LINE/L1
chr3:41858663:41858798 L1ME3E LINE/L1
chr3:41858663:41858798_1 L1ME3E LINE/L1
chr3:41861670:41861805 L1P4 LINE/L1
chr3:41861670:41861805_1 L1P4 LINE/L1
chr3:41862164:41862299 L1PA16 LINE/L1
chr3:41862164:41862299_1 L1PA16 LINE/L1
chr3:41862182:41862317 L1PA16 LINE/L1
chr3:41862182:41862317_1 L1PA16 LINE/L1
chr3:41862205:41862340 L1PA16 LINE/L1
chr3:41862205:41862340_1 L1PA16 LINE/L1
chr3:41863338:41863473 L2 LINE/L2
chr3:41863338:41863473_1 L2 LINE/L2
chr3:41863791:41863926 (TTTGT)n Simple_repeat
chr3:41863791:41863926_1 (TTTGT)n Simple_repeat
chr3:41863842:41863977 (T)n Simple_repeat
chr3:41863842:41863977 7SLRNA srpRNA
chr3:41863842:41863977 SVA_C Retroposon/SVA
chr3:41863842:41863977_1 (T)n Simple_repeat
chr3:41863842:41863977_1 7SLRNA srpRNA
chr3:41863842:41863977_1 SVA_C Retroposon/SVA
chr3:41864029:41864164 AluSx SINE/Alu
chr3:41864029:41864164_1 AluSx SINE/Alu
chr3:41864057:41864192 AluSx SINE/Alu
chr3:41864057:41864192_1 AluSx SINE/Alu
chr3:41864214:41864349 AluY SINE/Alu
chr3:41864214:41864349_1 AluY SINE/Alu
chr3:41864239:41864374 AluY SINE/Alu
chr3:41864239:41864374_1 AluY SINE/Alu
chr3:41864337:41864472 AluY SINE/Alu
chr3:41864337:41864472_1 AluY SINE/Alu
chr3:41864449:41864584 AluSx SINE/Alu
chr3:41864449:41864584_1 AluSx SINE/Alu
chr3:41864496:41864631 L2a LINE/L2
chr3:41864497:41864632 L2a LINE/L2
chr3:41864497:41864632_1 L2a LINE/L2
chr3:41864804:41864939 L2 LINE/L2
chr3:41864804:41864939_1 L2 LINE/L2
chr3:41865329:41865464 AluSx SINE/Alu
chr3:41865329:41865464_1 AluSx SINE/Alu
chr3:41865406:41865541 AluSx SINE/Alu
chr3:41865406:41865541_1 AluSx SINE/Alu
chr3:41865408:41865543 AluSx SINE/Alu
chr3:41865408:41865543_1 AluSx SINE/Alu
chr3:41865473:41865608 AluSx SINE/Alu
chr3:41865473:41865608_1 AluSx SINE/Alu
chr3:41865509:41865644 AluSx SINE/Alu
chr3:41865509:41865644_1 AluSx SINE/Alu
chr3:41865523:41865658 AluSx SINE/Alu
chr3:41865523:41865658_1 AluSx SINE/Alu
chr3:41865536:41865671 AluSx SINE/Alu
chr3:41865536:41865671_1 AluSx SINE/Alu
chr3:41865766:41865901 L1P1 LINE/L1
chr3:41865766:41865901_1 L1P1 LINE/L1
chr3:41865775:41865910 L1P1 LINE/L1
chr3:41865775:41865910_1 L1P1 LINE/L1
chr3:41865931:41866066 L1P1 LINE/L1
chr3:41865931:41866066_1 L1P1 LINE/L1
chr3:41865949:41866084 L1P1 LINE/L1
chr3:41865949:41866084_1 L1P1 LINE/L1
chr3:41865977:41866112 L1P1 LINE/L1
chr3:41865977:41866112_1 L1P1 LINE/L1
chr3:41866025:41866160 L1P1 LINE/L1
chr3:41866025:41866160_1 L1P1 LINE/L1
chr3:41866030:41866165 L1P1 LINE/L1
chr3:41866030:41866165_1 L1P1 LINE/L1
chr3:41866060:41866195 L1P1 LINE/L1
chr3:41866060:41866195_1 L1P1 LINE/L1
chr3:41866084:41866219 L1P1 LINE/L1
chr3:41866084:41866219_1 L1P1 LINE/L1
chr3:41866161:41866296 L1P1 LINE/L1
chr3:41866161:41866296_1 L1P1 LINE/L1
chr3:41866167:41866302 L1P1 LINE/L1
chr3:41866167:41866302_1 L1P1 LINE/L1
chr3:41866316:41866451 L1P1 LINE/L1
chr3:41866316:41866451_1 L1P1 LINE/L1
chr3:41866505:41866640 L1P1 LINE/L1
chr3:41866505:41866640_1 L1P1 LINE/L1
chr3:41866506:41866641 L1P1 LINE/L1
chr3:41866506:41866641_1 L1P1 LINE/L1
chr3:41866531:41866666 L1P1 LINE/L1
chr3:41866531:41866666_1 L1P1 LINE/L1
chr3:41866589:41866724 L1P1 LINE/L1
chr3:41866589:41866724_1 L1P1 LINE/L1
chr3:41866632:41866767 L1P1 LINE/L1
chr3:41866632:41866767_1 L1P1 LINE/L1
chr3:41866718:41866853 L1P1 LINE/L1
chr3:41866718:41866853_1 L1P1 LINE/L1
chr3:41866788:41866923 L1P1 LINE/L1
chr3:41866788:41866923_1 L1P1 LINE/L1
chr3:41867378:41867513 L1P1 LINE/L1
chr3:41867378:41867513_1 L1P1 LINE/L1
chr3:41867531:41867666 L1P1 LINE/L1
chr3:41867531:41867666_1 L1P1 LINE/L1
chr3:41867532:41867667 L1P1 LINE/L1
chr3:41867532:41867667_1 L1P1 LINE/L1
chr3:41867545:41867680 L1P1 LINE/L1
chr3:41867545:41867680_1 L1P1 LINE/L1
chr3:41867553:41867688 L1P1 LINE/L1
chr3:41867553:41867688_1 L1P1 LINE/L1
chr3:41867575:41867710 L1P1 LINE/L1
chr3:41867575:41867710_1 L1P1 LINE/L1
chr3:41867668:41867803 L1P1 LINE/L1
chr3:41867668:41867803_1 L1P1 LINE/L1
chr3:41867791:41867926 L1P1 LINE/L1
chr3:41867791:41867926_1 L1P1 LINE/L1
chr3:41868441:41868576 L1P1 LINE/L1
chr3:41868441:41868576_1 L1P1 LINE/L1
chr3:41868753:41868888 L1P1 LINE/L1
chr3:41868753:41868888_1 L1P1 LINE/L1
chr3:41868778:41868913 L1P1 LINE/L1
chr3:41868778:41868913_1 L1P1 LINE/L1
chr3:41868832:41868967 L1P1 LINE/L1
chr3:41868832:41868967_1 L1P1 LINE/L1
chr3:41868833:41868968 L1P1 LINE/L1
chr3:41868833:41868968_1 L1P1 LINE/L1
chr3:41868866:41869001 L1P1 LINE/L1
chr3:41868866:41869001_1 L1P1 LINE/L1
chr3:41868975:41869110 L1P1 LINE/L1
chr3:41868975:41869110_1 L1P1 LINE/L1
chr3:41869058:41869193 L1P1 LINE/L1
chr3:41869058:41869193_1 L1P1 LINE/L1
chr3:41869142:41869277 L1P1 LINE/L1
chr3:41869142:41869277_1 L1P1 LINE/L1
chr3:41869162:41869297 L1P1 LINE/L1
chr3:41869162:41869297_1 L1P1 LINE/L1
chr3:41869166:41869301 L1P1 LINE/L1
chr3:41869166:41869301_1 L1P1 LINE/L1
chr3:41869206:41869341 L1P1 LINE/L1
chr3:41869206:41869341_1 L1P1 LINE/L1
chr3:41869297:41869432 L1P1 LINE/L1
chr3:41869297:41869432_1 L1P1 LINE/L1
chr3:41869359:41869494 L1P1 LINE/L1
chr3:41869359:41869494_1 L1P1 LINE/L1
chr3:41869407:41869542 L1P1 LINE/L1
chr3:41869407:41869542_1 L1P1 LINE/L1
chr3:41869779:41869914 L1P1 LINE/L1
chr3:41869779:41869914_1 L1P1 LINE/L1
chr3:41870182:41870317 L1P1 LINE/L1
chr3:41870182:41870317_1 L1P1 LINE/L1
chr3:41870561:41870696 L1P1 LINE/L1
chr3:41870561:41870696_1 L1P1 LINE/L1
chr3:41870903:41871038 L1P LINE/L1
chr3:41870903:41871038_1 L1P LINE/L1
chr3:41871046:41871181 L1P1 LINE/L1
chr3:41871046:41871181_1 L1P2 LINE/L1
chr3:41871137:41871272 L1P2 LINE/L1
chr3:41871137:41871272_1 L1P2 LINE/L1
chr3:41871288:41871423 L1P1 LINE/L1
chr3:41871288:41871423_1 L1P1 LINE/L1
chr3:41871323:41871458 L1P1 LINE/L1
chr3:41871323:41871458_1 L1P1 LINE/L1
chr3:41871329:41871464 L1P1 LINE/L1
chr3:41871329:41871464_1 L1P1 LINE/L1
chr3:41871375:41871510 L1PA4 LINE/L1
chr3:41871375:41871510_1 L1PA4 LINE/L1
chr3:41871452:41871587 L1PA4 LINE/L1
chr3:41871452:41871587_1 L1PA4 LINE/L1
chr3:41871464:41871599 L1PA4 LINE/L1
chr3:41871464:41871599_1 L1PA4 LINE/L1
chr3:41871757:41871892 L1PA3 LINE/L1
chr3:41873029:41873164 L1PA8 LINE/L1
chr3:41873029:41873164_1 L1PA8 LINE/L1
chr3:41873089:41873224 L1PA8 LINE/L1
chr3:41873089:41873224_1 L1PA8 LINE/L1
chr3:41873672:41873807 L1P4 LINE/L1
chr3:41873672:41873807_1 L1P4 LINE/L1
chr3:41873710:41873845 L1P4 LINE/L1
chr3:41873710:41873845_1 L1P4 LINE/L1
chr3:41874256:41874391 L1P3 LINE/L1
chr3:41874256:41874391_1 L1P3 LINE/L1
chr3:41874275:41874410 L1P3 LINE/L1
chr3:41874275:41874410_1 L1P3 LINE/L1
chr3:41874495:41874630 L1P3 LINE/L1
chr3:41874495:41874630_1 L1P3 LINE/L1
chr3:41874862:41874997 AluY SINE/Alu
chr3:41874862:41874997_1 AluY SINE/Alu
chr3:41874931:41875066 AluY SINE/Alu
chr3:41874931:41875066_1 AluY SINE/Alu
chr3:41875229:41875364 L1P3 LINE/L1
chr3:41875229:41875364_1 L1P3 LINE/L1
chr3:41875231:41875366 L1P3 LINE/L1
chr3:41875231:41875366_1 L1P3 LINE/L1
chr3:41875301:41875436 L1P3 LINE/L1
chr3:41875301:41875436_1 L1P3 LINE/L1
chr3:41875988:41876123 L1M5 LINE/L1
chr3:41875988:41876123_1 L1M5 LINE/L1
chr3:41876242:41876377 AluJb SINE/Alu
chr3:41876242:41876377_1 AluJb SINE/Alu
chr3:41876642:41876777 AluJb SINE/Alu
chr3:41876642:41876777_1 AluJb SINE/Alu
chr3:41877785:41877920 AluSx SINE/Alu
chr3:41877785:41877920_1 AluSx SINE/Alu
chr3:41880698:41880833 AluSx SINE/Alu
chr3:41880698:41880833_1 AluSx SINE/Alu
chr3:41880763:41880898 AluSx SINE/Alu
chr3:41880763:41880898 L1MA7 LINE/L1
chr3:41880763:41880898_1 AluSx SINE/Alu
chr3:41880763:41880898_1 L1MA7 LINE/L1
chr3:41881039:41881174 L1MD LINE/L1
chr3:41881039:41881174_1 L1MD LINE/L1
chr3:41881283:41881418 L1MD LINE/L1
chr3:41881283:41881418_1 L1MD LINE/L1
chr3:41881733:41881868 AluJb SINE/Alu
chr3:41881733:41881868 (CTCTCC)n Simple_repeat
chr3:41881733:41881868_1 AluJb SINE/Alu
chr3:41881733:41881868_1 (CTCTCC)n Simple_repeat
chr3:41882033:41882168 SVA_A Retroposon/SVA
chr3:41882033:41882168_1 SVA_A Retroposon/SVA
chr3:41882079:41882214 SVA_B Retroposon/SVA
chr3:41882079:41882214_1 SVA_B Retroposon/SVA
chr3:41882255:41882390 SVA_C Retroposon/SVA
chr3:41882255:41882390_1 SVA_C Retroposon/SVA
chr3:41882289:41882424 SVA_A Retroposon/SVA
chr3:41882289:41882424_1 SVA_A Retroposon/SVA
chr3:41882453:41882588 SVA_A Retroposon/SVA
chr3:41882453:41882588_1 SVA_A Retroposon/SVA
chr3:41882837:41882972 SVA_A Retroposon/SVA
chr3:41882837:41882972_1 SVA_A Retroposon/SVA
chr3:41882951:41883086 SVA_A Retroposon/SVA
chr3:41882951:41883086_1 SVA_A Retroposon/SVA
chr3:41883033:41883168 SVA_B Retroposon/SVA
chr3:41883033:41883168_1 SVA_B Retroposon/SVA
chr3:41883287:41883422 LTR5_Hs LTR/ERVK
chr3:41883287:41883422_1 LTR5_Hs LTR/ERVK
chr3:41883433:41883568 SVA_A Retroposon/SVA
chr3:41883433:41883568_1 SVA_A Retroposon/SVA
chr3:41883907:41884042 MSTB LTR/ERVL-MaLR
chr3:41883907:41884042_1 MSTB LTR/ERVL-MaLR
chr3:41884682:41884817 L1MD LINE/L1
chr3:41884682:41884817_1 L1MD LINE/L1
chr3:41884799:41884934 LTR12C LTR/ERV1
chr3:41884799:41884934_1 LTR12C LTR/ERV1
chr3:41884831:41884966 LTR12C LTR/ERV1
chr3:41884831:41884966_1 LTR12C LTR/ERV1
chr3:41885171:41885306 LTR12C LTR/ERV1
chr3:41885171:41885306_1 LTR12C LTR/ERV1
chr3:41885271:41885406 LTR12E LTR/ERV1
chr3:41885271:41885406_1 LTR12E LTR/ERV1
chr3:41885520:41885655 LTR12E LTR/ERV1
chr3:41885520:41885655_1 LTR12E LTR/ERV1
chr3:41885587:41885722 LTR12C LTR/ERV1
chr3:41885587:41885722_1 LTR12C LTR/ERV1
chr3:41885629:41885764 LTR12C LTR/ERV1
chr3:41885629:41885764_1 LTR12C LTR/ERV1
chr3:41885654:41885789 LTR12E LTR/ERV1
chr3:41885654:41885789_1 LTR12E LTR/ERV1
chr3:41885655:41885790 LTR12E LTR/ERV1
chr3:41885655:41885790_1 LTR12E LTR/ERV1
chr3:41886391:41886526 L1MD LINE/L1
chr3:41886391:41886526 AluSx SINE/Alu
chr3:41886391:41886526_1 L1MD LINE/L1
chr3:41886391:41886526_1 AluSx SINE/Alu
chr3:41887709:41887844 A-rich Low_complexity
chr3:41887709:41887844_1 (AAGAAT)n Simple_repeat
chr3:41891030:41891165 L1MC1 LINE/L1
chr3:41891030:41891165_1 L1MC1 LINE/L1
chr3:41891592:41891727 L1PA4 LINE/L1
chr3:41891592:41891727_1 L1PA4 LINE/L1
chr3:41892388:41892523 L1P1 LINE/L1
chr3:41892388:41892523 L1P1 LINE/L1
chr3:41892388:41892523_1 L1P1 LINE/L1
chr3:41892388:41892523_1 L1P1 LINE/L1
chr3:41892435:41892570 L1P1 LINE/L1
chr3:41892435:41892570 L1P1 LINE/L1
chr3:41892435:41892570_1 L1P1 LINE/L1
chr3:41892435:41892570_1 L1P1 LINE/L1
chr3:41892575:41892710 L1P1 LINE/L1
chr3:41892575:41892710_1 L1P1 LINE/L1
chr3:41892576:41892711 L1P1 LINE/L1
chr3:41892576:41892711_1 L1P1 LINE/L1
chr3:41892625:41892760 L1P1 LINE/L1
chr3:41892625:41892760_1 L1P1 LINE/L1
chr3:41893437:41893572 L1P1 LINE/L1
chr3:41893437:41893572_1 L1P1 LINE/L1
chr3:41893703:41893838 L1P1 LINE/L1
chr3:41893703:41893838_1 L1P1 LINE/L1
chr3:41894700:41894835 MER5A DNA/hAT-Charlie
chr3:41894700:41894835 MER5B DNA/hAT-Charlie
chr3:41894700:41894835_1 MER5A DNA/hAT-Charlie
chr3:41894700:41894835_1 MER5B DNA/hAT-Charlie
chr3:41895109:41895244 MER49 LTR/ERV1
chr3:41895109:41895244_1 MER49 LTR/ERV1
chr3:41895734:41895869 ERVL-E-int LTR/ERVL
chr3:41895734:41895869_1 ERVL-E-int LTR/ERVL
chr3:41895899:41896034 ERVL-E-int LTR/ERVL
chr3:41895899:41896034_1 ERVL-E-int LTR/ERVL
chr3:41896373:41896508 ERVL-int LTR/ERVL
chr3:41896373:41896508 (A)n Simple_repeat
chr3:41896373:41896508_1 ERVL-int LTR/ERVL
chr3:41898040:41898175 (TA)n Simple_repeat
chr3:41898040:41898175_1 (TA)n Simple_repeat
chr3:41898746:41898881 L1M1 LINE/L1
chr3:41898746:41898881_1 L1M1 LINE/L1
chr3:41899294:41899429 L1M1 LINE/L1
chr3:41899294:41899429_1 L1M1 LINE/L1
chr3:41901076:41901211 7SLRNA srpRNA
chr3:41901076:41901211_1 7SLRNA srpRNA
chr3:41902214:41902349 L1M1 LINE/L1
chr3:41902214:41902349_1 L1M1 LINE/L1
chr3:41902545:41902680 L1M1 LINE/L1
chr3:41902545:41902680_1 L1M1 LINE/L1
chr3:41902896:41903031 L1M1 LINE/L1
chr3:41902896:41903031_1 L1M1 LINE/L1
chr3:41902904:41903039 L1M1 LINE/L1
chr3:41902904:41903039_1 L1M1 LINE/L1
chr3:41903140:41903275 L1M1 LINE/L1
chr3:41903140:41903275_1 L1M1 LINE/L1
chr3:41903423:41903558 AluJb SINE/Alu
chr3:41903423:41903558_1 AluJb SINE/Alu
chr3:41903514:41903649 AluJb SINE/Alu
chr3:41903514:41903649 L1M1 LINE/L1
chr3:41903514:41903649_1 AluJb SINE/Alu
chr3:41903514:41903649_1 L1M1 LINE/L1
chr3:41905128:41905263 L1M1 LINE/L1
chr3:41905128:41905263_1 L1M1 LINE/L1
chr3:41905271:41905406 L1M1 LINE/L1
chr3:41905271:41905406_1 L1M1 LINE/L1
chr3:41905600:41905735 L1M1 LINE/L1
chr3:41905600:41905735_1 L1M1 LINE/L1
chr3:41905723:41905858 L1M1 LINE/L1
chr3:41905723:41905858_1 L1M1 LINE/L1
chr3:41905862:41905997 L1M1 LINE/L1
chr3:41905862:41905997_1 L1M1 LINE/L1
chr3:41906115:41906250 AluJb SINE/Alu
chr3:41906115:41906250_1 AluJb SINE/Alu
chr3:41906692:41906827 AluSx SINE/Alu
chr3:41906692:41906827_1 AluSx SINE/Alu
chr3:41907782:41907917 MER1B DNA/hAT-Charlie
chr3:41907782:41907917_1 MER1B DNA/hAT-Charlie
chr3:41908543:41908678 L1M5 LINE/L1
chr3:41908543:41908678_1 L1M5 LINE/L1
chr3:41908600:41908735 L1M5 LINE/L1
chr3:41908600:41908735_1 L1M5 LINE/L1
chr3:41908613:41908748 L1M5 LINE/L1
chr3:41908613:41908748_1 L1M5 LINE/L1
chr3:41909440:41909575 L1M5 LINE/L1
chr3:41909440:41909575_1 L1M5 LINE/L1
chr3:41910091:41910226 AluSx SINE/Alu
chr3:41910091:41910226_1 AluSx SINE/Alu
chr3:41910148:41910283 AluSx SINE/Alu
chr3:41910148:41910283_1 AluSx SINE/Alu
chr3:41912467:41912602 THE1C LTR/ERVL-MaLR
chr3:41912467:41912602_1 THE1C LTR/ERVL-MaLR
chr3:41912583:41912718 THE1D LTR/ERVL-MaLR
chr3:41912583:41912718_1 THE1D LTR/ERVL-MaLR
chr3:41914071:41914206_1 (ATT)n Simple_repeat
chr3:41914353:41914488 AluSx SINE/Alu
chr3:41914353:41914488_1 AluSx SINE/Alu
chr3:41916190:41916325 L1PB3 LINE/L1
chr3:41916190:41916325_1 L1PB3 LINE/L1
chr3:41917327:41917462 L1MC5a LINE/L1
chr3:41917327:41917462_1 L1MC5a LINE/L1
chr3:41917925:41918060 L1M5 LINE/L1
chr3:41917925:41918060_1 L1M5 LINE/L1
chr3:41918388:41918523 L1ME3A LINE/L1
chr3:41918388:41918523_1 L1ME3B LINE/L1
chr3:41918638:41918773 L1MC5a LINE/L1
chr3:41918638:41918773_1 L1MC5a LINE/L1
chr3:41918766:41918901 AluSx SINE/Alu
chr3:41918766:41918901_1 AluSx SINE/Alu
chr3:41918924:41919059 AluSx SINE/Alu
chr3:41918924:41919059_1 AluSx SINE/Alu
chr3:41919431:41919566 7SLRNA srpRNA
chr3:41919431:41919566 L1MC5a LINE/L1
chr3:41919431:41919566_1 7SLRNA srpRNA
