statistic	pval	fdr	df.test	df.dna	df.rna.full	df.rna.red	logFC
378__WILDTYPE_SNP_INDIV	0.652493132803102	0.419222727365436	0.552904617924887	1	26	5	4	0.0998398826267341
4666__WILDTYPE_SNP_INDIV	13.0385994665912	0.000305136198012583	0.00157844002595049	1	26	5	4	-0.412785265076427
869__WILDTYPE_SNP_INDIV	5.69219462162846	0.0170405307311415	0.045147073149871	1	21	5	4	-0.507728832170044
4120__WILDTYPE_SNP_INDIV	0.392340595238011	0.531071644417319	0.659006021964791	1	26	5	4	-0.0821489331441589
3611__WILDTYPE_SNP_INDIV	0.0548419475999253	0.814842464444794	0.878844902181705	1	24	5	4	-0.0303712716161507
4338__WILDTYPE_SNP_INDIV	15.0011923385846	0.000107443269292288	0.000651985293205477	1	26	5	4	-0.272765600951728
1603__WILDTYPE_SNP_INDIV	0.0119658715543665	0.912894254545014	0.944168797530545	1	26	5	4	-0.00834234887895563
2216__WILDTYPE_SNP_INDIV	0.33165908859894	0.564683785865496	0.688100982472001	1	12	5	4	-0.136755537752729
4453__WILDTYPE_SNP_INDIV	15.3413554805583	8.97305531195761e-05	0.000564635097730569	1	17	5	4	0.848395199124398
1876__WILDTYPE_SNP_INDIV	0.762733812626266	0.382474334802595	0.519844924508278	1	26	5	4	0.0589133432721163
1373__WILDTYPE_SNP_INDIV	11.7574339246262	0.00060600714741866	0.00279239726797131	1	26	5	4	-0.273034845252122
2425__WILDTYPE_SNP_INDIV	0.343350063790695	0.557901855075959	0.68163788078266	1	26	5	4	0.0658524193529686
4650__WILDTYPE_SNP_INDIV	16.8787386690365	3.98454122133893e-05	0.00028412025385393	1	24	5	4	0.517625658299252
4315__WILDTYPE_SNP_INDIV	0.735253011745044	0.39118576400408	0.528461021522094	1	26	5	4	0.0755562068098161
2076__WILDTYPE_SNP_INDIV	0.00750682173747919	0.930956146413046	0.954080778263647	1	26	5	4	0.0079211438131577
2771__WILDTYPE_SNP_INDIV	2.74625406584755	0.0974825696458077	0.184014622827083	1	26	5	4	0.205670869422204
2685__WILDTYPE_SNP_INDIV	12.3847180113271	0.000432862003657227	0.00212495892704457	1	26	5	4	0.346035371357322
1752__WILDTYPE_SNP_INDIV	1.433711117847	0.231159735706476	0.35660631003246	1	26	5	4	0.0899065135041563
804__WILDTYPE_SNP_INDIV	0.573143192185398	0.449012591977841	0.583546381029071	1	26	5	4	0.0646286340070444
1330__WILDTYPE_SNP_INDIV	0.832639331466908	0.361510447456074	0.498399085047014	1	26	5	4	0.0945240912463933
920__WILDTYPE_SNP_INDIV	0.531912860248212	0.465803761756654	0.597611553390944	1	26	5	4	0.0594310518445216
3390__WILDTYPE_SNP_INDIV	34.3691485366205	4.55892854453526e-09	1.04334336119221e-07	1	20	5	4	1.12565322705596
2351__WILDTYPE_SNP_INDIV	10.5944520514231	0.00113427510753858	0.00474854195716934	1	26	5	4	0.284655591136915
3952__WILDTYPE_SNP_INDIV	6.70760920603425	0.00960023514880076	0.0282539682333965	1	26	5	4	-0.372230074368784
1225__WILDTYPE_SNP_INDIV	0.0750655895390082	0.784099221329821	0.855089824758593	1	26	5	4	0.0276049667448292
3664__WILDTYPE_SNP_INDIV	4.49756344620917	0.0339431861752302	0.0793438486177802	1	8	5	4	0.599321834160793
2599__WILDTYPE_SNP_INDIV	0.998158972037345	0.317756393176621	0.453694957102448	1	26	5	4	-0.0845069713982207
4211__WILDTYPE_SNP_INDIV	20.5816532185801	5.71411105787432e-06	5.31180227159458e-05	1	21	5	4	0.850976223520444
4307__WILDTYPE_SNP_INDIV	40.2792138998052	2.20138740037062e-10	7.10058244710148e-09	1	26	5	4	-0.467930460422246
3100__WILDTYPE_SNP_INDIV	3.29629736504467	0.0694362347304258	0.14074674994282	1	26	5	4	-0.177414456607089
4679__WILDTYPE_SNP_INDIV	0.147917883428988	0.700533097214609	0.793224192402414	1	13	5	4	-0.10255603742068
1939__WILDTYPE_SNP_INDIV	2.7833531283045	0.0952485624959083	0.180791702746973	1	26	5	4	-0.174634086822086
1582__WILDTYPE_SNP_INDIV	0.940352464498119	0.332187213292832	0.468042142212064	1	26	5	4	-0.100053897072042
4362__WILDTYPE_SNP_INDIV	0.783339416306262	0.376121769442432	0.513826385429314	1	26	5	4	0.0813041363036686
55__WILDTYPE_SNP_INDIV	0.287161933890047	0.592044996265333	0.709568142656157	1	25	5	4	0.0582423146522769
549__WILDTYPE_SNP_INDIV	292.665335767534	1.305607911187e-65	1.04579193686079e-62	1	25	5	4	3.03321757394534
1226__WILDTYPE_SNP_INDIV	34.0018364869725	5.50600792627922e-09	1.23653617260271e-07	1	26	5	4	0.757502232602541
48__WILDTYPE_SNP_INDIV	28.6335197916887	8.74551232281158e-08	1.42477736350618e-06	1	26	5	4	0.618078826946277
1802__WILDTYPE_SNP_INDIV	29.3731752419772	5.96982934838999e-08	1.01024647353388e-06	1	26	5	4	0.499094704462404
563__WILDTYPE_SNP_INDIV	0.189596772404457	0.663252432390064	0.764043909411948	1	26	5	4	0.0454227502356028
4322__WILDTYPE_SNP_INDIV	27.8453825617034	1.31407302022969e-07	2.05046588805971e-06	1	26	5	4	-0.457482770305888
410__WILDTYPE_SNP_INDIV	1.92428750959812	0.165384777417872	0.276851006712049	1	26	5	4	0.176193595953407
3163__WILDTYPE_SNP_INDIV	2.07064473958781	0.150158030494183	0.257621837503286	1	26	5	4	0.157412841598512
26__WILDTYPE_SNP_INDIV	3.14084294028453	0.0763543367196087	0.151949872577408	1	26	5	4	0.265474500507709
4524__WILDTYPE_SNP_INDIV	4.60272834433908	0.0319211177088108	0.0754189336154778	1	26	5	4	0.196189650152428
2715__WILDTYPE_SNP_INDIV	19.9825111459754	7.81537167707467e-06	6.96858558070888e-05	1	24	5	4	-0.601598217834657
2722__WILDTYPE_SNP_INDIV	1.20026373267842	0.273268973002521	0.405879792550354	1	25	5	4	-0.174481065082161
3132__WILDTYPE_SNP_INDIV	0.0175890978916868	0.894490832782766	0.932925985753901	1	25	5	4	0.0173667331608487
1049__WILDTYPE_SNP_INDIV	18.6860660789862	1.5410451588504e-05	0.000123643790207596	1	26	5	4	0.399813867645098
2098__WILDTYPE_SNP_INDIV	0.124795781664034	0.723890183700122	0.810959492508808	1	26	5	4	-0.0216251824389347
899__WILDTYPE_SNP_INDIV	17.1189351979397	3.51105097934019e-05	0.000256056312696646	1	26	5	4	0.373909405664854
232__WILDTYPE_SNP_INDIV	0.511542128999736	0.474472041213219	0.605499901771303	1	26	5	4	0.0653018155340237
3044__WILDTYPE_SNP_INDIV	21.3033208561606	3.92051736649655e-06	3.81417134886284e-05	1	26	5	4	0.415777819590167
561__WILDTYPE_SNP_INDIV	4.53463590163574	0.0332155220575299	0.0779461909221136	1	26	5	4	-0.19986862109306
3425__WILDTYPE_SNP_INDIV	0.00847527802625336	0.926649357237537	0.951800985442104	1	26	5	4	-0.00631281577708747
3143__WILDTYPE_SNP_INDIV	1.64656885962859	0.199426571719297	0.318419968000977	1	25	5	4	0.176294787642686
2036__WILDTYPE_SNP_INDIV	10.2910098627799	0.00133679908542772	0.00547052764046951	1	26	5	4	0.265897558945943
3965__WILDTYPE_SNP_INDIV	6.18223578371635	0.012903912436137	0.0358890064630059	1	26	5	4	0.199901974992597
2093__WILDTYPE_SNP_INDIV	1.52671180630705	0.216606615582522	0.338430232278804	1	25	5	4	-0.22446552099098
2487__WILDTYPE_SNP_INDIV	10.2825702744144	0.00134292743745822	0.00548818815002059	1	26	5	4	0.287872915293564
3257__WILDTYPE_SNP_INDIV	10.8077668149003	0.00101075152441329	0.0042912295285603	1	26	5	4	0.283355035346393
2193__WILDTYPE_SNP_INDIV	3.81849378050265	0.0506897863015399	0.11008364797343	1	26	5	4	-0.309310052644213
3102__WILDTYPE_SNP_INDIV	28.1773991417494	1.10689563985685e-07	1.74991462011579e-06	1	26	5	4	0.392333453859188
689__WILDTYPE_SNP_INDIV	0.279603508341381	0.596961209192536	0.712235434310688	1	16	5	4	-0.144558619498937
3089__WILDTYPE_SNP_INDIV	0.492756376256693	0.482700317867351	0.613556658997749	1	26	5	4	-0.0540030682270871
1593__WILDTYPE_SNP_INDIV	1.44881831842531	0.228717657978183	0.353787275263324	1	26	5	4	0.122140270757999
389__WILDTYPE_SNP_INDIV	0.132796064803642	0.715550417868634	0.804203232672225	1	23	5	4	0.0628023338693527
928__WILDTYPE_SNP_INDIV	0.607078492308119	0.435889934660109	0.571280890639892	1	24	5	4	0.117229193247415
3811__WILDTYPE_SNP_INDIV	26.7298909869314	2.33973970510501e-07	3.34666339962342e-06	1	26	5	4	0.4851225599085
852__WILDTYPE_SNP_INDIV	14.5537138576228	0.000136219882904204	0.000790361419449498	1	25	5	4	-0.412591576582649
1766__WILDTYPE_SNP_INDIV	0.130767495415967	0.717637596960345	0.805645010743149	1	26	5	4	-0.0348620780688808
4048__WILDTYPE_SNP_INDIV	5.15683329699505	0.0231550789552817	0.0580934329465252	1	26	5	4	0.176196995072658
3495__WILDTYPE_SNP_INDIV	0.257332040540746	0.6119590319362	0.724348231253973	1	22	5	4	-0.0878367073824331
2786__WILDTYPE_SNP_INDIV	0.745626402080234	0.387864480397625	0.525981008123868	1	26	5	4	-0.0681956321923677
788__WILDTYPE_SNP_INDIV	2.99248664110928	0.083651622929878	0.163293947928917	1	26	5	4	-0.1505035716694
2491__WILDTYPE_SNP_INDIV	6.21443908878337	0.0126712492864004	0.0354058279479305	1	26	5	4	0.156007127223797
1986__WILDTYPE_SNP_INDIV	6.82741569652035	0.00897690576680808	0.0268135544532502	1	26	5	4	0.293027570189158
3661__WILDTYPE_SNP_INDIV	9.49906874135831	0.00205576208958936	0.00784126397029084	1	26	5	4	-0.383051114775681
1786__WILDTYPE_SNP_INDIV	1.79261048924309	0.180608424110402	0.295339940889619	1	26	5	4	0.123953059057913
3088__WILDTYPE_SNP_INDIV	0.218248374571886	0.640377822342987	0.74557617746355	1	26	5	4	0.0352729362798513
4053__WILDTYPE_SNP_INDIV	5.13033995737578	0.0235111222971001	0.0587806848557497	1	22	5	4	-0.42010167313476
4167__WILDTYPE_SNP_INDIV	0.0194032276526741	0.889216670280253	0.929240121193063	1	26	5	4	0.0127668401863569
4388__WILDTYPE_SNP_INDIV	4.31168859648028	0.03785137210796	0.0868323123393107	1	26	5	4	0.27812701494207
547__WILDTYPE_SNP_INDIV	0.0207246481249967	0.885531599204337	0.927405723638275	1	26	5	4	0.0150013811756059
4104__WILDTYPE_SNP_INDIV	0.933773096413461	0.333884403788199	0.470157762849717	1	25	5	4	-0.150366374804118
4488__WILDTYPE_SNP_INDIV	16.4003828454634	5.12748721918184e-05	0.000351035663467064	1	26	5	4	0.336504564963896
3849__WILDTYPE_SNP_INDIV	19.9485319007817	7.9555017462748e-06	7.08039655418458e-05	1	26	5	4	0.473386593916914
297__WILDTYPE_SNP_INDIV	11.2846603324829	0.000781501297078272	0.00347125252657872	1	26	5	4	0.359974706975776
76__WILDTYPE_SNP_INDIV	14.8186494426795	0.000118359234308054	0.000698813857597674	1	26	5	4	-0.288496484418514
1221__WILDTYPE_SNP_INDIV	0.863243739479003	0.352832543416566	0.489626127196905	1	26	5	4	-0.0924956031345111
3968__WILDTYPE_SNP_INDIV	9.45005879910013	0.00211142331794234	0.00801540321171475	1	26	5	4	-0.308446824858645
605__WILDTYPE_SNP_INDIV	2.25421182141758	0.133251285001133	0.234480338535368	1	8	5	4	-0.566219345459045
3260__WILDTYPE_SNP_INDIV	1.28699512350386	0.256602450439786	0.387078272697304	1	26	5	4	0.14237824807799
1933__WILDTYPE_SNP_INDIV	6.79725872191648	0.00912979437463393	0.0271269790347583	1	26	5	4	-0.321990561855647
1924__WILDTYPE_SNP_INDIV	1.03837126181475	0.30820057607189	0.443609454507788	1	24	5	4	0.106730078071881
2825__WILDTYPE_SNP_INDIV	1.58157655040259	0.208533750230056	0.32913405701335	1	26	5	4	-0.147038614492949
173__WILDTYPE_SNP_INDIV	0.0417733177800983	0.838052479859885	0.897433203700225	1	26	5	4	0.0264934923564987
2545__WILDTYPE_SNP_INDIV	3.0407976052758	0.0811960128866094	0.159406878240623	1	11	5	4	-0.742300633663107
4570__WILDTYPE_SNP_INDIV	31.6501827516668	1.84597225515293e-08	3.63596010584631e-07	1	26	5	4	-0.71535805529368
903__WILDTYPE_SNP_INDIV	0.508594287478445	0.475748012238248	0.606814173725039	1	26	5	4	-0.0665997102661695
3158__WILDTYPE_SNP_INDIV	4.18905171895585	0.0406858493324412	0.0918441483756282	1	26	5	4	0.196747725735126
1832__WILDTYPE_SNP_INDIV	0.000972276989159582	0.975124908093746	0.984698263063337	1	26	5	4	0.00457655897780602
3391__WILDTYPE_SNP_INDIV	0.71124297352344	0.399031483399936	0.535383950089362	1	26	5	4	0.0912860502374901
681__WILDTYPE_SNP_INDIV	8.75143993656366	0.00309357691208955	0.0110458622878918	1	26	5	4	0.243623190992705
2201__WILDTYPE_SNP_INDIV	6.98777246956752	0.00820684270975787	0.0248375856820506	1	26	5	4	0.186759681876366
3879__WILDTYPE_SNP_INDIV	5.31451125845138	0.0211485252508783	0.0541790044540091	1	24	5	4	-0.277177007610853
3120__WILDTYPE_SNP_INDIV	6.42233056497685	0.0112694173284801	0.0320857936496892	1	25	5	4	-0.413278795308676
4196__WILDTYPE_SNP_INDIV	4.13677490401039	0.0419610419944768	0.0944565657262086	1	18	5	4	-0.413002056620092
95__WILDTYPE_SNP_INDIV	1.79561337417999	0.180243722519017	0.294927046240264	1	23	5	4	-0.200530688855489
2412__WILDTYPE_SNP_INDIV	5.35444737300031	0.0206694838232331	0.0531501012597423	1	26	5	4	-0.278156958920408
1429__WILDTYPE_SNP_INDIV	6.63381109165181	0.0100060955472306	0.0290219041641463	1	12	5	4	-0.788849479488799
340__WILDTYPE_SNP_INDIV	42.9682422959272	5.56356968543004e-11	2.08894655532631e-09	1	26	5	4	-0.705855229091876
4086__WILDTYPE_SNP_INDIV	7.42724076619106	0.0064243774678233	0.0201933015764282	1	26	5	4	-0.279720092672085
749__WILDTYPE_SNP_INDIV	1.83973043135802	0.174982545625229	0.288694168992396	1	24	5	4	0.249452431831665
1935__WILDTYPE_SNP_INDIV	8.15471747528341	0.0042949290460514	0.0144244786829651	1	25	5	4	0.533357545648026
1687__WILDTYPE_SNP_INDIV	12.5091634722621	0.000404960883046444	0.00201058058256323	1	26	5	4	-0.392750072938019
3037__WILDTYPE_SNP_INDIV	0.584572112725255	0.444525758301845	0.578967694958989	1	25	5	4	0.118294418205416
4123__WILDTYPE_SNP_INDIV	2.91555844266736	0.0877290385599822	0.169502492967418	1	22	5	4	-0.293688075429726
3236__WILDTYPE_SNP_INDIV	6.09635730705622	0.0135460834141499	0.0373111211812116	1	25	5	4	-0.262412602271978
3732__WILDTYPE_SNP_INDIV	6.73514906313039	0.00945313324381295	0.0279408108055135	1	21	5	4	-0.52362384619467
1628__WILDTYPE_SNP_INDIV	4.26757306673676	0.0388463752456328	0.0885653128228233	1	24	5	4	0.284277129143805
1487__WILDTYPE_SNP_INDIV	0.0305809905335082	0.861178472705718	0.911434428501141	1	25	5	4	0.0274226673580261
4501__WILDTYPE_SNP_INDIV	0.140538296005616	0.707746458633782	0.799208054556851	1	26	5	4	-0.029013404469657
1740__WILDTYPE_SNP_INDIV	3.58294160290188	0.0583756949713699	0.122298862263472	1	26	5	4	-0.209236539454791
77__WILDTYPE_SNP_INDIV	1.25965398217159	0.261716597199728	0.392820101855681	1	26	5	4	0.115459345604578
2170__WILDTYPE_SNP_INDIV	2.79116238772463	0.0947854498950467	0.18012608627742	1	25	5	4	0.201232108274202
1522__WILDTYPE_SNP_INDIV	3.52860482665074	0.0603185240857884	0.125331096738564	1	25	5	4	0.279114375451557
2194__WILDTYPE_SNP_INDIV	9.5534974028933	0.00199568808931265	0.00765465040481771	1	25	5	4	-0.346327449280765
2334__WILDTYPE_SNP_INDIV	0.00931430470086525	0.923115019483339	0.949794644323898	1	19	5	4	0.0202668828769747
4303__WILDTYPE_SNP_INDIV	0.000944770319051713	0.975479190602287	0.984698263063337	1	14	5	4	-0.0110249649893655
3528__WILDTYPE_SNP_INDIV	15.7764792109883	7.1283202761721e-05	0.000466739880753176	1	26	5	4	0.633224727628647
3411__WILDTYPE_SNP_INDIV	13.6602350464455	0.000219044079349158	0.00120041253674029	1	26	5	4	0.32879696751014
2767__WILDTYPE_SNP_INDIV	2.33395780927867	0.126579681345124	0.225562457747374	1	26	5	4	0.127774371955237
1588__WILDTYPE_SNP_INDIV	7.19498453923507	0.00731076207033056	0.0226534639007148	1	25	5	4	0.465809024751147
4258__WILDTYPE_SNP_INDIV	0.106348474783317	0.744340269851629	0.826547905939679	1	26	5	4	0.0282127933037131
3663__WILDTYPE_SNP_INDIV	0.0541734744118685	0.81595401956773	0.8796893523487	1	16	5	4	0.0341926918183606
3358__WILDTYPE_SNP_INDIV	12.2059668614738	0.000476369072535211	0.00230093443477811	1	22	5	4	-0.541981600734274
4139__WILDTYPE_SNP_INDIV	3.08548679475211	0.0789936244926402	0.156039194127262	1	22	5	4	0.311101441666786
3657__WILDTYPE_SNP_INDIV	21.1971590481189	4.14378285649626e-06	3.97856217990374e-05	1	26	5	4	0.397249565206785
3080__WILDTYPE_SNP_INDIV	7.32893503752348	0.00678532454289845	0.0211480348593839	1	26	5	4	0.263000945936836
4706__WILDTYPE_SNP_INDIV	0.621984241352266	0.430310883882741	0.564893228063495	1	21	5	4	-0.176319631930868
1160__WILDTYPE_SNP_INDIV	9.73433682531413	0.00180857255921795	0.00702667721875624	1	26	5	4	0.265567207546404
2241__WILDTYPE_SNP_INDIV	16.5927298761171	4.63282732614949e-05	0.000319904714503943	1	26	5	4	-0.361572906919519
3654__WILDTYPE_SNP_INDIV	8.21556693943171	0.00415325370869671	0.0141098838076445	1	21	5	4	0.543460391044893
1218__WILDTYPE_SNP_INDIV	4.19659487839908	0.0405052357168702	0.0914793998380066	1	26	5	4	-0.171697245209399
3785__WILDTYPE_SNP_INDIV	7.26394626918159	0.00703525334577082	0.0218561264251937	1	20	5	4	-0.467064523253415
1224__WILDTYPE_SNP_INDIV	10.5454991820038	0.00116471361602299	0.00485903961684591	1	26	5	4	0.42373746621859
1972__WILDTYPE_SNP_INDIV	2.91797210970208	0.087597888284929	0.169348405673214	1	24	5	4	0.168686476304818
4574__WILDTYPE_SNP_INDIV	9.2196164002512	0.00239435708564683	0.00886400105835746	1	26	5	4	0.293447737954941
1610__WILDTYPE_SNP_INDIV	1.26449331866365	0.260802277243021	0.391692420134363	1	25	5	4	-0.162742123837674
3003__WILDTYPE_SNP_INDIV	2.30704953945224	0.128788304712495	0.228481577131138	1	26	5	4	0.121204462336417
3141__WILDTYPE_SNP_INDIV	23.1011492039329	1.5369880922813e-06	1.70989925266294e-05	1	26	5	4	0.567811078153418
1205__WILDTYPE_SNP_INDIV	3.17445946322687	0.0747979575080948	0.149471510928858	1	26	5	4	0.129992992804057
838__WILDTYPE_SNP_INDIV	25.9126454940188	3.57221366399754e-07	4.76890524143672e-06	1	26	5	4	0.355160577922911
675__WILDTYPE_SNP_INDIV	1.84364933232746	0.174523824824585	0.288036230119146	1	18	5	4	-0.33992701399215
4335__WILDTYPE_SNP_INDIV	0.434478283357748	0.509799664663359	0.638046142805235	1	21	5	4	0.105037294297554
3842__WILDTYPE_SNP_INDIV	4.20513280302123	0.0403018185367214	0.0911914029602086	1	19	5	4	-0.387229878898761
1303__WILDTYPE_SNP_INDIV	6.49104882248753	0.0108418993220351	0.0310710603110917	1	26	5	4	0.34025172460663
3679__WILDTYPE_SNP_INDIV	1.26534154935189	0.260642424666339	0.391574708642209	1	26	5	4	0.103034171024884
1799__WILDTYPE_SNP_INDIV	0.798146953968171	0.371647977921825	0.50901686574303	1	26	5	4	-0.0766195383091681
3596__WILDTYPE_SNP_INDIV	0.236785347412933	0.62653760850739	0.736538034219555	1	26	5	4	-0.0521737325122867
1678__WILDTYPE_SNP_INDIV	0.0139376656075001	0.906021788231871	0.941028939510426	1	15	5	4	-0.0217145731941694
1333__WILDTYPE_SNP_INDIV	0.0104071671973998	0.918744352766231	0.947839407491148	1	24	5	4	0.0150905694868123
513__WILDTYPE_SNP_INDIV	24.8806668358407	6.09910250128694e-07	7.69351354886746e-06	1	26	5	4	0.450107543599175
4465__WILDTYPE_SNP_INDIV	0.0337645760401983	0.85420848605752	0.908257961060275	1	7	5	4	-0.0594762835473421
52__WILDTYPE_SNP_INDIV	0.0486454532237985	0.82543727434495	0.886690107398711	1	26	5	4	-0.0154417812502887
4149__WILDTYPE_SNP_INDIV	0.454234966724471	0.500330667016719	0.629968348357965	1	26	5	4	-0.0667229147026845
3961__WILDTYPE_SNP_INDIV	17.2317601392897	3.30858692396831e-05	0.000242764408497583	1	26	5	4	-0.33288739452207
60__WILDTYPE_SNP_INDIV	9.72067036810631	0.00182207044626963	0.00707340110240052	1	26	5	4	0.304040217075882
1887__WILDTYPE_SNP_INDIV	10.1768487676673	0.0014221502868025	0.00575324434206466	1	26	5	4	-0.239407451272801
1317__WILDTYPE_SNP_INDIV	0.368764009436291	0.543678760859233	0.670667383133848	1	26	5	4	-0.0662070303128107
1901__WILDTYPE_SNP_INDIV	0.39742869390102	0.528420182954382	0.655885175433564	1	22	5	4	-0.118719154846704
4032__WILDTYPE_SNP_INDIV	19.8705035273208	8.28691198982525e-06	7.32112114395223e-05	1	23	5	4	0.848951024425416
1301__WILDTYPE_SNP_INDIV	0.755592476083166	0.384711375397909	0.522147096911141	1	25	5	4	-0.117623188219386
3215__WILDTYPE_SNP_INDIV	11.8329549108614	0.000581915750931832	0.00270734472311557	1	21	5	4	0.664040813158503
4684__WILDTYPE_SNP_INDIV	21.4920690162942	3.552950672004e-06	3.53529625872696e-05	1	12	5	4	1.89506274713862
574__WILDTYPE_SNP_INDIV	5.66554586578059	0.0173013319812282	0.0457371845444349	1	26	5	4	0.289076267633768
828__WILDTYPE_SNP_INDIV	0.00190649499973006	0.965172691124206	0.977207404448353	1	26	5	4	0.00529588095128112
4191__WILDTYPE_SNP_INDIV	0.0283541235129405	0.866278970655235	0.914416150443457	1	18	5	4	0.0474330749196924
2976__WILDTYPE_SNP_INDIV	18.6963424952464	1.53276211036895e-05	0.000123184861244702	1	26	5	4	0.527312556301043
2028__WILDTYPE_SNP_INDIV	32.4914822712999	1.19716083359278e-08	2.45878417360979e-07	1	26	5	4	0.490640924319925
2633__WILDTYPE_SNP_INDIV	4.03586599966889	0.0445428088488265	0.0988788634306974	1	18	5	4	0.317908294707119
1001__WILDTYPE_SNP_INDIV	2.34402996683002	0.125763826181674	0.224691802464358	1	26	5	4	-0.165818229393961
2955__WILDTYPE_SNP_INDIV	35.7279043217021	2.26890755454817e-09	5.67935922247839e-08	1	22	5	4	-1.133072103073
4426__WILDTYPE_SNP_INDIV	11.4532225791636	0.000713701215449398	0.00322070238633785	1	26	5	4	0.314154422759176
255__WILDTYPE_SNP_INDIV	3.58488988109639	0.0583072810072028	0.122208806158141	1	26	5	4	-0.180246353779316
2591__WILDTYPE_SNP_INDIV	7.03783248836953	0.00798055559619656	0.0242753211247197	1	26	5	4	0.261075594901665
638__WILDTYPE_SNP_INDIV	26.0656662954016	3.30000277198107e-07	4.48017325484209e-06	1	26	5	4	0.726330329893644
3499__WILDTYPE_SNP_INDIV	2.42601324015232	0.119336057437139	0.215693528410263	1	26	5	4	-0.165891779378004
3298__WILDTYPE_SNP_INDIV	4.25815921596313	0.0390622279835905	0.0889752854956563	1	26	5	4	-0.298699466637882
813__WILDTYPE_SNP_INDIV	0.00723105515180578	0.932233079681108	0.954238801346174	1	23	5	4	0.0156443236829947
2042__WILDTYPE_SNP_INDIV	10.9764649993958	0.000922762791804982	0.00399891612030184	1	26	5	4	0.3122899307137
303__WILDTYPE_SNP_INDIV	1.25006878201657	0.263539340698268	0.394816107043602	1	26	5	4	0.117589739533815
4279__WILDTYPE_SNP_INDIV	4.80285317166795	0.0284126460865002	0.0685561540111801	1	22	5	4	0.354705334261336
4182__WILDTYPE_SNP_INDIV	39.3925732756161	3.46612755543607e-10	1.05431702730543e-08	1	26	5	4	-0.557689736204529
3782__WILDTYPE_SNP_INDIV	1.17465283502656	0.278447266646278	0.411379515371046	1	26	5	4	-0.135169528442375
3829__WILDTYPE_SNP_INDIV	4.80269316481872	0.0284152848086289	0.0685561540111801	1	18	5	4	0.46382012451931
2883__WILDTYPE_SNP_INDIV	1.14226320985244	0.285174607366081	0.418616115760961	1	26	5	4	0.0859764046158836
3691__WILDTYPE_SNP_INDIV	50.7315910611469	1.05901207985666e-12	5.19348168958277e-11	1	26	5	4	-0.430747584187884
2953__WILDTYPE_SNP_INDIV	0.0163010877263332	0.898405610872184	0.935764154524667	1	26	5	4	0.0111140942265017
3217__WILDTYPE_SNP_INDIV	0.202335631596725	0.652842159924668	0.756038414601916	1	26	5	4	0.0628260453641752
4201__WILDTYPE_SNP_INDIV	0.0729159070563128	0.787137592520474	0.856847852696127	1	22	5	4	0.0362979241923762
718__WILDTYPE_SNP_INDIV	5.12880976612405	0.0235318591134664	0.0587806848557497	1	26	5	4	0.2328057315654
803__WILDTYPE_SNP_INDIV	0.120325999827401	0.728681185095471	0.814115388989147	1	26	5	4	-0.0381294195649758
1627__WILDTYPE_SNP_INDIV	31.3907010562416	2.10988991237748e-08	4.13882894648416e-07	1	26	5	4	0.849244356505679
2555__WILDTYPE_SNP_INDIV	16.3581586122441	5.24299739631683e-05	0.000357416248038279	1	26	5	4	0.454427100435898
2727__WILDTYPE_SNP_INDIV	0.925863890118308	0.335940002006762	0.472084108083186	1	18	5	4	0.21620558657503
4694__WILDTYPE_SNP_INDIV	2.14440458255257	0.143090541399797	0.247728077077602	1	7	5	4	0.706904223889025
2747__WILDTYPE_SNP_INDIV	0.184913980667261	0.667183815970135	0.767101775012553	1	26	5	4	0.0432547712423091
2150__WILDTYPE_SNP_INDIV	10.8654926469858	0.000979726856247254	0.00419492443762953	1	25	5	4	-0.417112494150976
3351__WILDTYPE_SNP_INDIV	6.60054542939997	0.0101947533111116	0.029427017665587	1	26	5	4	0.243801558065026
2376__WILDTYPE_SNP_INDIV	0.294251377836815	0.587508939648446	0.706068508114636	1	7	5	4	0.402461321562869
96__WILDTYPE_SNP_INDIV	39.4286682396523	3.40264583558006e-10	1.0415997379489e-08	1	26	5	4	0.630966426223781
1629__WILDTYPE_SNP_INDIV	18.882832672356	1.38997937225197e-05	0.000114243925820609	1	26	5	4	0.413257187235336
1885__WILDTYPE_SNP_INDIV	1.3149416790784	0.251501882823311	0.381299069037487	1	26	5	4	0.123948664889959
4667__WILDTYPE_SNP_INDIV	0.786523289054458	0.375153481246216	0.512941004514741	1	26	5	4	0.0727992610683488
3199__WILDTYPE_SNP_INDIV	1.0304707712188	0.310048122703868	0.445734752532093	1	9	5	4	-0.701078156659835
3452__WILDTYPE_SNP_INDIV	21.9799530129462	2.75513233000877e-06	2.81128789342296e-05	1	26	5	4	0.551699991061658
1254__WILDTYPE_SNP_INDIV	2.0299031996733	0.154230430361729	0.262848031318606	1	26	5	4	0.142346863754187
2430__WILDTYPE_SNP_INDIV	0.602909806367279	0.437469951910709	0.572570966471369	1	26	5	4	0.0579288496454322
2521__WILDTYPE_SNP_INDIV	2.20756133432133	0.137335618952544	0.240274839710931	1	25	5	4	-0.168469801078572
2386__WILDTYPE_SNP_INDIV	5.15187832228469	0.0232212412156947	0.0582166329069529	1	19	5	4	0.382397082492636
1660__WILDTYPE_SNP_INDIV	42.7941358599392	6.08141890722677e-11	2.26568211380867e-09	1	26	5	4	0.734292558291557
3160__WILDTYPE_SNP_INDIV	0.851498171042067	0.356128857695305	0.492444094702233	1	25	5	4	-0.107687373064255
